x,y,z
10,1,0
9.276632117,3.65019365,0.221256765
8.863051291,6.089286886,0.650252278
8.713084707,8.383490594,1.259011545
8.790628252,10.58619891,2.04304124
9.067411537,12.73691347,3.01474398
9.520890687,14.86037194,4.199021402
10.13224187,16.96527001,5.629964168
10.88439434,19.04237065,7.347703206
11.76004359,21.06210419,9.394598737
12.7396162,22.9720906,11.81002524
13.79922098,24.69541946,14.62316554
14.90871992,26.1309884,17.84358521
16.03018455,27.1576057,21.45005808
17.11714858,27.64363786,25.37922566
18.11517335,27.46332934,29.51706055
18.96422476,26.51917675,33.69725495
19.60312269,24.76693524,37.71066889
19.97582119,22.23682308,41.32790108
20.03859411,19.04300063,44.33270405
19.76659492,15.37524933,46.55874511
19.15807483,11.47232358,47.9189436
18.23500751,7.583520664,48.4178878
17.03987762,3.929775261,48.1437669
15.62951653,0.675225812,47.24384033
14.06760383,-2.084855057,45.89261179
12.41753516,-4.320417587,44.2623536
10.73688082,-6.052548436,42.50228998
9.073953981,-7.335464658,40.72821904
7.466390394,-8.239724843,39.02091727
5.941278372,-8.839393434,37.43017464
4.516270429,-9.203789211,35.98139209
3.201171719,-9.393181629,34.6825343
1.999637764,-9.457320673,33.530209
0.910756672,-9.435709504,32.5144026
-0.069594913,-9.358773239,31.62186331
-0.947655896,-9.249359599,30.83834147
-1.730933817,-9.124242589,30.14996026
-2.427574441,-8.995466011,29.54397221
-3.04590842,-8.871466566,29.0091083
-3.594136739,-8.757973153,28.53567265
-4.080121484,-8.658706122,28.11548906
-4.511254514,-8.575909732,27.74176976
-4.894382435,-8.510751543,27.40895041
-5.235771379,-8.463618615,27.112518
-5.541099262,-8.434335246,26.84884607
-5.81546643,-8.422321848,26.61504476
-6.063418154,-8.426710037,26.40882842
-6.288974242,-8.446425375,26.22840089
-6.495662481,-8.480246328,26.07235729
-6.686553597,-8.526845819,25.9396004
-6.864296192,-8.584820147,25.82926956
-7.031150635,-8.652708864,25.74068003
-7.189021291,-8.729008336,25.67327092
-7.33948675,-8.812181073,25.62656003
-7.483827935,-8.900662495,25.60010441
-7.623054103,-8.992866454,25.59346534
-7.757926888,-9.08719056,25.60617714
-7.888982585,-9.182022211,25.63771916
-8.01655296,-9.27574601,25.68749067
-8.140784873,-9.366753137,25.75478848
-8.261659037,-9.453453069,25.83878755
-8.379008242,-9.534287907,25.93852457
-8.492535334,-9.607749387,26.05288511
-8.601831232,-9.672398465,26.18059474
-8.706393213,-9.726887206,26.32021447
-8.805643628,-9.769982459,26.47014131
-8.898949154,-9.800590654,26.62861405
-8.985640595,-9.817782834,26.79372488
-9.065033144,-9.820818901,26.96343683
-9.136446945,-9.809169937,27.13560703
-9.199227677,-9.78253741,27.30801546
-9.252766807,-9.740868076,27.47839861
-9.296521073,-9.68436352,27.64448709
-9.330030726,-9.613483428,27.80404603
-9.352936011,-9.528941947,27.95491696
-9.364991382,-9.43169684,28.09505947
-9.366076976,-9.322931472,28.22259115
-9.356206954,-9.204030091,28.33582413
-9.335534397,-9.076547213,28.4332968
-9.304352584,-8.94217227,28.51379941
-9.263092605,-8.802690929,28.57639275
-9.212317433,-8.659944673,28.62041917
-9.15271269,-8.515790264,28.64550601
-9.085074501,-8.372060694,28.65156144
-9.010294919,-8.230529052,28.63876353
-8.929345497,-8.092876523,28.60754327
-8.84325962,-7.960665416,28.55856276
-8.753114226,-7.835317809,28.49268982
-8.660011516,-7.718100067,28.41097016
-8.565061228,-7.610113148,28.31459858
-8.469363939,-7.512288378,28.20489021
-8.373995801,-7.425388125,28.08325271
-8.27999501,-7.350010659,27.95116033
-8.188350185,-7.286598375,27.8101304
-8.099990779,-7.235448546,27.66170253
-8.015779502,-7.196725753,27.50742076
-7.936506702,-7.170475213,27.34881872
-7.862886562,-7.156636316,27.18740761
-7.795554933,-7.155055762,27.02466682
-7.735068579,-7.165499822,26.86203689
-7.681905601,-7.187665348,26.70091442
-7.6364668,-7.221189275,26.5426487
-7.599077724,-7.265656444,26.38853949
-7.56999119,-7.320605682,26.23983573
-7.549390045,-7.385534125,26.09773477
-7.537390002,-7.459899861,25.96338186
-7.534042374,-7.54312301,25.83786948
-7.539336585,-7.63458539,25.7222364
-7.553202343,-7.733628988,25.61746606
-7.575511416,-7.83955344,25.52448424
-7.60607896,-7.951612807,25.4441557
-7.644664389,-8.069011898,25.37727971
-7.69097181,-8.19090247,25.32458435
-7.744650049,-8.316379628,25.28671955
-7.805292372,-8.444478757,25.26424866
-7.872435969,-8.574173385,25.2576389
-7.945561354,-8.704374337,25.26725043
-8.024091817,-8.833930571,25.29332442
-8.107393106,-8.961632096,25.33597025
-8.194773534,-9.086215335,25.39515224
-8.285484723,-9.206371259,25.47067615
-8.378723197,-9.320756597,25.56217624
-8.473633047,-9.428008287,25.66910319
-8.569309881,-9.526761283,25.79071378
-8.664806259,-9.615669641,25.92606299
-8.759138763,-9.693430683,26.07399936
-8.851296831,-9.758811803,26.23316432
-8.940253407,-9.810679327,26.4019964
-9.024977384,-9.848028557,26.57874076
-9.104447747,-9.87001401,26.76146477
-9.177669198,-9.875978615,26.94807971
-9.243688973,-9.865480578,27.13636874
-9.30161444,-9.838316502,27.32402074
-9.350630986,-9.794539451,27.50866937
